2018-10-24 16:39:34,836 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-10-24 16:39:36,702 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file /Users/tangzhen/.dubbo/dubbo-registry-dubbo-admin-127.0.0.1:2181.cache, data: {*/org.spring.springboot.dubbo.CityDubboService:*=empty://10.17.74.58/org.spring.springboot.dubbo.CityDubboService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=* empty://10.17.74.58/org.spring.springboot.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=* empty://10.17.74.58/org.spring.springboot.dubbo.CityDubboService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=* empty://10.17.74.58/org.spring.springboot.dubbo.CityDubboService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, */org.spring.springboot.dubbo.SecondProviderService:*=empty://10.17.74.58/org.spring.springboot.dubbo.SecondProviderService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.SecondProviderService&version=* empty://10.17.74.58/org.spring.springboot.dubbo.SecondProviderService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.SecondProviderService&version=* empty://10.17.74.58/org.spring.springboot.dubbo.SecondProviderService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.SecondProviderService&version=* empty://10.17.74.58/org.spring.springboot.dubbo.SecondProviderService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.SecondProviderService&version=*, */com.atem.providerfirst.service.FirstApiService:*=empty://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=* empty://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=* empty://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=* empty://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=*, */com.example.provider.service.ComputeService:*=empty://10.17.74.58/com.example.provider.service.ComputeService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.example.provider.service.ComputeService&version=* empty://10.17.74.58/com.example.provider.service.ComputeService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.example.provider.service.ComputeService&version=* empty://10.17.74.58/com.example.provider.service.ComputeService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.provider.service.ComputeService&version=* empty://10.17.74.58/com.example.provider.service.ComputeService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.example.provider.service.ComputeService&version=*}, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:36,891 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=4483&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Cunsubscribe%2Csubscribe%2Cunregister%2Cregister%26pid%3D4483%26register.ip%3D10.17.74.58%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1540370376564&timestamp=1540370376657, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:36,919 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:36,923 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.17.74.58?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:36,995 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=*, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:37,012 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=*, urls: [empty://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=*, empty://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=*, empty://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=*, empty://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=*], dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:37,016 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.17.74.58/org.spring.springboot.dubbo.SecondProviderService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.SecondProviderService&version=*, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:37,029 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.17.74.58/org.spring.springboot.dubbo.SecondProviderService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.SecondProviderService&version=*, urls: [empty://10.17.74.58/org.spring.springboot.dubbo.SecondProviderService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.SecondProviderService&version=*, empty://10.17.74.58/org.spring.springboot.dubbo.SecondProviderService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.SecondProviderService&version=*, empty://10.17.74.58/org.spring.springboot.dubbo.SecondProviderService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.SecondProviderService&version=*, empty://10.17.74.58/org.spring.springboot.dubbo.SecondProviderService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.SecondProviderService&version=*], dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:37,030 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.17.74.58/org.spring.springboot.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:37,048 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.17.74.58/org.spring.springboot.dubbo.CityDubboService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, urls: [empty://10.17.74.58/org.spring.springboot.dubbo.CityDubboService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, empty://10.17.74.58/org.spring.springboot.dubbo.CityDubboService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, empty://10.17.74.58/org.spring.springboot.dubbo.CityDubboService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*, empty://10.17.74.58/org.spring.springboot.dubbo.CityDubboService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=org.spring.springboot.dubbo.CityDubboService&version=*], dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:37,049 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.17.74.58/com.example.provider.service.ComputeService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.provider.service.ComputeService&version=*, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:37,064 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.17.74.58/com.example.provider.service.ComputeService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.provider.service.ComputeService&version=*, urls: [empty://10.17.74.58/com.example.provider.service.ComputeService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.example.provider.service.ComputeService&version=*, empty://10.17.74.58/com.example.provider.service.ComputeService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.example.provider.service.ComputeService&version=*, empty://10.17.74.58/com.example.provider.service.ComputeService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.example.provider.service.ComputeService&version=*, empty://10.17.74.58/com.example.provider.service.ComputeService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.example.provider.service.ComputeService&version=*], dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:38,935 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:48,054 [DubboShutdownHook] INFO  com.alibaba.dubbo.config.AbstractConfig$1 (AbstractConfig.java:81) -  [DUBBO] Run shutdown hook now., dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:48,055 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistryFactory (AbstractRegistryFactory.java:64) -  [DUBBO] Close all registries [zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&interface=com.alibaba.dubbo.registry.RegistryService&pid=4483&timestamp=1540370376657], dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:48,056 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:451) -  [DUBBO] Destroy registry:zookeeper://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&interface=com.alibaba.dubbo.registry.RegistryService&pid=4483&timestamp=1540370376657, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:48,057 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:317) -  [DUBBO] Unsubscribe: admin://10.17.74.58?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:48,057 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:476) -  [DUBBO] Destroy unsubscribe url admin://10.17.74.58?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:48,058 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:317) -  [DUBBO] Unsubscribe: admin://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=*, dubbo version: 2.6.2, current host: 10.17.74.58
2018-10-24 16:39:48,058 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:476) -  [DUBBO] Destroy unsubscribe url admin://10.17.74.58/com.atem.providerfirst.service.FirstApiService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.atem.providerfirst.service.FirstApiService&version=*, dubbo version: 2.6.2, current host: 10.17.74.58
